1	B	73
2	B	29
3	B	55
4	A	34
5	B	29
6	B	43
7	A	22
8	A	37
9	A	40
10	B	47
11	D	36
12	C	36
13	B	37
14	D	66
15	E	12
16	B	20
17	E	40
18	C	77
19	B	17
20	D	20
21	C	27
22	C	26
23	D	24
24	D	70
25	E	38
26	C	13
27	D	49
28	D	40
29	E	58
30	C	28
31	E	65
32	B	41
33	C	56
34	D	31
35	A	79
36	D	46
37	D	53
38	D	39
39	E	54
40	A	21
41	A	18
42	B	52
43	C	17
44	A	48
45	E	45
46	C	36
47	C	28
48	C	30
49	C	22
50	C	33
51	B	70
52	C	15
53	C	34
54	B	18
55	A	30
56	C	42
57	C	41
58	E	22
59	B	36
60	B	9
61	B	26
62	C	13
63	A	56
64	C	26
65	D	44
66	E	25
67	C	28
68	E	61
69	A	14
70	D	14
71	A	20
72	A	29
73	C	34
74	B	21
75	D	27
76	B	52
77	D	12
78	E	36
79	D	22
80	C	31
81	B	27
82	E	15
83	D	15
84	D	20
85	B	15
86	B	36
87	A	6
88	B	57
89	D	18
90	Z	00
91	E	25
92	D	15
93	D	26
94	D	28
95	E	23
96	A	28
97	E	11
98	D	39
99	B	44
100	C	51
