1	B	72
2	D	88
3	E	60
4	E	72
5	A	94
6	E	73
7	C	74
8	D	59
9	E	78
10	B	85
11	C	83
12	C	36
13	A	59
14	B	11
15	E	59
16	D	74
17	A	70
18	E	42
19	A	53
20	A	35
21	C	57
22	C	76
23	B	16
24	B	52
25	E	83
26	D	64
27	C	30
28	D	63
29	C	47
30	D	51
31	C	73
32	A	19
33	E	72
34	C	45
35	B	30
36	A	50
37	E	53
38	E	83
39	C	53
40	B	20
41	B	58
42	E	47
43	D	27
44	D	27
45	C	15
46	D	25
47	D	32
48	C	39
49	D	49
50	C	39
51	D	69
52	C	56
53	D	50
54	E	71
55	A	45
56	D	52
57	B	59
58	A	39
59	C	60
60	C	58
61	E	73
62	E	41
63	D	47
64	D	64
65	C	66
66	D	34
67	D	26
68	D	33
69	D	51
70	A	29
71	B	65
72	D	70
73	D	11
74	E	40
75	B	19
76	B	32
77	C	39
78	B	80
79	D	49
80	C	50
81	B	60
82	D	60
83	E	48
84	E	67
85	B	56
86	B	60
87	D	74
88	D	27
89	D	49
90	D	21
91	C	60
92	E	67
93	B	21
94	C	12
95	D	51
96	D	17
97	E	20
98	D	49
99	E	40
100	E	67
