1	B	67
2	A	51
3	D	55
4	E	55
5	A	19
6	D	39
7	A	75
8	D	47
9	D	39
10	C	58
11	A	60
12	E	39
13	E	52
14	A	42
15	C	36
16	A	48
17	A	32
18	B	30
19	E	64
20	E	37
21	C	24
22	B	58
23	E	55
24	C	55
25	E	57
26	D	28
27	D	39
28	D	71
29	A	38
30	E	35
31	A	34
32	D	90
33	D	89
34	B	86
35	A	73
36	A	41
37	E	55
38	A	53
39	E	20
40	A	42
41	C	34
42	C	38
43	B	66
44	A	42
45	D	41
46	E	67
47	C	46
48	D	21
49	B	74
50	C	51
51	B	30
52	E	46
53	C	36
54	E	16
55	B	33
56	C	79
57	D	59
58	B	45
59	E	41
60	C	67
61	E	55
62	E	62
63	D	34
64	C	22
65	B	33
66	E	44
67	C	34
68	A	89
69	C	72
70	A	66
71	E	65
72	E	63
73	A	38
74	B	30
75	B	30
76	A	38
77	B	34
78	C	57
79	D	77
80	B	51
81	B	30
82	E	39
83	C	45
84	B	35
85	B	22
86	E	23
87	E	57
88	B	26
89	E	31
90	C	40
91	D	30
92	D	20
93	D	41
94	B	14
95	C	31
96	B	23
97	A	17
98	D	46
99	B	25
100	A	36
