1	C	69
2	D	39
3	A	31
4	C	97
5	C	42
6	D	36
7	A	43
8	C	59
9	A	67
10	E	34
11	E	49
12	B	56
13	D	35
14	C	64
15	C	25
16	A	44
17	A	10
18	C	69
19	A	72
20	D	7
21	E	28
22	D	37
23	E	29
24	E	53
25	D	84
26	B	57
27	B	59
28	E	59
29	B	65
30	E	31
31	B	16
32	A	85
33	A	50
34	D	37
35	B	19
36	C	34
37	A	58
38	B	43
39	B	32
40	C	61
41	D	73
42	D	70
43	B	60
44	A	50
45	D	83
46	B	80
47	B	48
48	C	66
49	B	48
50	B	59
51	A	41
52	B	86
53	B	43
54	E	43
55	D	40
56	C	74
57	A	29
58	C	82
59	A	29
60	D	20
61	A	15
62	E	39
63	D	46
64	B	51
65	E	42
66	C	46
67	C	51
68	C	24
69	D	50
70	D	58
71	B	38
72	A	38
73	C	27
74	B	30
75	E	61
76	A	25
77	E	25
78	C	24
79	A	50
80	B	33
81	C	36
82	D	24
83	A	28
84	D	37
85	C	49
86	B	41
87	C	27
88	E	24
89	E	31
90	B	29
91	E	23
92	D	39
93	E	28
94	C	31
95	C	22
96	C	16
97	D	9
98	B	19
99	A	21
100	C	63
