1	C	54
2	D	30
3	D	71
4	C	62
5	D	28
6	E	34
7	B	89
8	D	65
9	A	63
10	A	53
11	A	28
12	E	40
13	B	42
14	C	27
15	A	68
16	D	14
17	B	81
18	A	45
19	B	36
20	E	49
21	B	60
22	A	54
23	C	45
24	C	86
25	E	48
26	C	30
27	A	82
28	E	61
29	C	63
30	A	44
31	A	53
32	D	62
33	D	31
34	C	23
35	E	82
36	E	70
37	D	36
38	D	35
39	D	45
40	D	40
41	E	66
42	C	64
43	D	39
44	D	54
45	B	50
46	E	29
47	B	46
48	C	57
49	E	61
50	B	50
51	B	45
52	C	12
53	B	32
54	C	77
55	E	62
56	D	54
57	A	68
58	B	58
59	B	87
60	D	55
61	C	18
62	A	35
63	D	52
64	A	56
65	D	44
66	D	33
67	E	19
68	E	51
69	B	26
70	B	53
71	D	32
72	E	39
73	D	43
74	D	50
75	E	57
76	C	49
77	E	44
78	E	52
79	D	69
80	D	28
81	B	50
82	D	16
83	C	30
84	D	26
85	A	25
86	E	24
87	A	42
88	C	42
89	E	37
90	A	33
91	B	41
92	E	45
93	C	42
94	E	29
95	A	42
96	E	13
97	E	20
98	A	72
99	D	20
100	B	72
